sample,point_name,width,thickness,E,Yield stress,Yield strain,Failure stress,Elongation,UTS
3,A,1.22,0.95,12641415464,388265746.3,0.0513,520276100.1,0.5448,649.4064
3,B,1.21,0.91,9122346653,211606575.2,0.0434,478612296.8,0.5499,674.7371
3,C,1.22,0.89,11518264469,471541720.4,0.0612,515748756.7,0.5232,702.2988
3,D,1.21,0.86,12917604759,396886411.7,0.0508,473765135.5,0.5468,647.4822
3,E,1.21,0.85,14505793786,451142440.4,0.0518,557122022.4,0.5194,716.7302
3,F,1.2,0.88,14267920311,479166666.7,0.0538,503787878.8,0.525,702.9375
3,G,1.21,0.87,12646568506,399924004.9,0.0518,502517336.4,0.5265,670.4256
3,H,1.2,0.88,13894902787,473484848.5,0.0546,510416666.7,0.4986,700.3636
3,I,1.2,0.89,13600470415,477528089.9,0.0556,544007490.6,0.5108,699.9026
4,A,1.21,0.95,13099780837,414093083.9,0.0518,450630709,0.5212,669.2475
4,B,1.19,0.9,11861330358,464985994.4,0.0594,547152194.2,0.4862,713.6424
4,C,1.22,0.87,12965702764,468249481.8,0.0566,537968720.6,0.4158,668.0243
4,D,1.18,0.89,12724151827,405637021.5,0.0523,511331175,0.5245,694.542
4,E,1.2,0.83,14067374326,475903614.5,0.0543,580321285.1,0.5037,699.6747
4,F,1.2,0.92,15310757829,420289855.1,0.048,457427536.2,0.5103,655.0417
4,G,1.21,0.86,12601956884,452623486.5,0.0564,552565827.4,0.4559,663.6883
4,H,1.18,0.89,12439282757,464673395.5,0.0576,562749952.4,0.4613,722.1834
4,I,1.18,0.93,11949695949,406415163.1,0.0543,506652086.8,0.5103,710.1968
5,A,1.22,0.96,12048179640,419228142.1,0.0548,467042349.7,0.5529,695.0231
5,B,1.2,0.89,13959375770,476591760.3,0.0543,517790262.2,0.4961,705.4691
5,C,1.22,0.88,13422128812,433122205.7,0.0523,439642324.9,0.4844,698.0449
5,D,1.22,0.89,11250771633,345367471,0.0508,366550009.2,0.5344,595.2533
5,E,1.23,0.85,14646690976,462936394.1,0.0518,528933524.6,0.5303,670.4266
5,F,1.19,0.81,13449539978,447141819.7,0.0533,482415188.3,0.5146,694.0844
5,G,1.22,0.88,11935941539,364195231,0.0508,448956780.9,0.588,611.6151
5,H,1.2,0.9,12719897585,439814814.8,0.0548,459259259.3,0.5433,704.0778
5,I,1.2,0.87,18865254112,540229885.1,0.049,632183908,0.4575,693.4195
6,A,1.19,1,13366256288,496638655.5,0.0576,596638655.5,0.4565,884.697
6,B,1.21,0.98,13245402809,449485579.4,0.0543,541406645.3,0.4554,825.7414
6,C,1.22,0.89,12582495623,527721495.7,0.0619,590348130.4,0.4717,742.3356
6,D,1.23,0.93,14471584546,490427484.9,0.0543,563860477.3,0.4823,771.296
6,E,1.21,0.82,19105775644,552308002.4,0.049,632936907.9,0.429,730.0311
6,F,1.18,0.8,14736633117,479872881.4,0.0528,490466101.7,0.4323,707.0897
6,G,1.22,0.88,14041946884,513226527.6,0.0569,550484351.7,0.4834,771.8303
6,H,1.19,0.87,13870507012,489713126.6,0.0553,590167101.3,0.4724,769.5858
6,I,1.22,0.87,12095754913,475786696.8,0.0597,569059732.4,0.4354,708.7126
6,J,1.21,0.95,14863588248,510656807.3,0.0546,524575902.6,0.4676,845.3243
6,K,1.18,0.92,16373462672,550847457.6,0.0538,659543109.8,0.4669,858.7856
6,L,1.17,0.91,14336317368,535362073.8,0.0574,679064525.2,0.4062,834.2041
7,A,1.23,0.97,14361690558,497862710.6,0.0548,664655100.2,0.4295,819.2101
7,B,1.18,0.92,15466345626,514001473.8,0.0536,598747236.6,0.3948,802.7514
7,C,1.21,0.84,16374016010,526367571.8,0.0523,611963793.8,0.4544,726.0088
7,D,1.18,0.83,20411226436,530937308.6,0.0465,616704104.6,0.4895,746.299
7,E,1.22,0.82,11074190801,535785685.7,0.0685,562774890,0.5001,718.3831
7,F,1.18,0.76,14604584433,585414808.2,0.0604,666815343.4,0.4958,669.1311
7,G,1.21,0.83,16571293311,472966245.1,0.0487,589465299.2,0.5131,729.5458
7,H,1.2,0.82,15562109161,525406504.1,0.0543,590447154.5,0.4417,706.2849
7,I,1.23,0.84,19786342468,542973286.9,0.048,611691831.2,0.4483,723.8216
7,J,1.22,0.93,16534282867,519125683.1,0.0518,594923321,0.4966,809.861
7,K,1.21,0.95,14692250055,470639408.4,0.052,644628099.2,0.4641,858.7788
7,L,1.22,0.95,17294526638,534081104.4,0.0513,578947368.4,0.4265,837.1225
8,A,1.19,0.89,15667369992,480596733.1,0.0508,572183929.8,0.5042,735.8737
8,B,1.19,0.85,15725007398,517053880.4,0.0531,572417202.2,0.4724,720.1569
8,C,1.21,0.81,12158880055,511172329.4,0.0625,513212937.5,0.4912,669.0289
8,D,1.2,0.83,9392850918,481927710.8,0.0713,528112449.8,0.5164,696.5637
8,E,1.21,0.78,18311769384,576393303.7,0.0518,699300699.3,0.4554,678.9537
8,F,1.22,0.76,15931292029,589948231.2,0.0574,616911130.3,0.4402,669.4373
8,G,1.22,0.78,15626282677,527532576.7,0.0541,622110130.3,0.4884,691.8544
8,H,1.21,0.79,18698093632,568051051.4,0.051,733340307.6,0.4524,727.7422
8,I,1.2,0.8,15079233427,540625000,0.0561,632291666.7,0.475,727.5916
